CustomerID,CustomerName,Industry,Region,YearsInBusiness,AnnualRevenue,CreditScore,CreatedAt
1000,SME_1000,Services,South,8,70403.0,619,2018-09-28 00:00:00
1001,SME_1001,Tech,South,3,129619.0,677,2019-08-07 00:00:00
1002,SME_1002,Wholesale,North,9,103636.0,623,2019-06-01 00:00:00
1003,SME_1003,Construction,East,4,3785798.0,610,2015-06-23 00:00:00
1004,SME_1004,Manufacturing,South,5,478742.0,632,2017-06-05 00:00:00
1005,SME_1005,Manufacturing,West,5,279912.0,594,2018-03-02 00:00:00
1006,SME_1006,Manufacturing,North,6,380139.0,601,2017-04-25 00:00:00
1007,SME_1007,Healthcare,East,6,94226.0,839,2016-06-13 00:00:00
1008,SME_1008,Construction,West,11,289591.0,600,2019-07-31 00:00:00
1009,SME_1009,Wholesale,West,8,210429.0,678,2019-06-28 00:00:00
1010,SME_1010,Manufacturing,West,8,464338.0,575,2019-03-17 00:00:00
1011,SME_1011,Tech,West,3,156236.0,506,2019-08-31 00:00:00
1012,SME_1012,Agriculture,Central,11,139256.0,589,2018-09-18 00:00:00
1013,SME_1013,Retail,South,5,58281.0,644,2016-12-12 00:00:00
1014,SME_1014,Retail,East,12,3042473.0,590,2017-06-27 00:00:00
1015,SME_1015,Retail,North,8,380048.0,516,2019-02-12 00:00:00
1016,SME_1016,Retail,North,5,117497.0,614,2019-07-20 00:00:00
1017,SME_1017,Services,North,3,165508.0,653,2018-05-08 00:00:00
1018,SME_1018,Services,North,10,112063.0,706,2017-11-26 00:00:00
1019,SME_1019,Retail,South,3,2047835.0,642,2019-06-18 00:00:00
1020,SME_1020,Construction,North,6,284156.0,585,2018-09-30 00:00:00
1021,SME_1021,Manufacturing,North,11,134920.0,740,2019-07-25 00:00:00
1022,SME_1022,Retail,Central,3,844186.0,801,2019-05-31 00:00:00
1023,SME_1023,Services,North,5,50000.0,670,2016-08-23 00:00:00
1024,SME_1024,Services,West,7,250936.0,763,2015-08-27 00:00:00
1025,SME_1025,Agriculture,North,7,101239.0,707,2018-07-05 00:00:00
1026,SME_1026,Retail,Central,7,149343.0,804,2019-09-01 00:00:00
1027,SME_1027,Services,West,5,396851.0,661,2019-07-18 00:00:00
1028,SME_1028,Construction,East,10,86047.0,720,2019-08-06 00:00:00
1029,SME_1029,Manufacturing,East,8,415133.0,757,2019-05-09 00:00:00
1030,SME_1030,Construction,North,4,97306.0,654,2017-03-10 00:00:00
1031,SME_1031,Manufacturing,Central,10,65514.0,707,2019-09-06 00:00:00
1032,SME_1032,Manufacturing,West,8,126095.0,657,2018-03-08 00:00:00
1033,SME_1033,Tech,West,8,554674.0,597,2019-02-24 00:00:00
1034,SME_1034,Tech,East,10,492563.0,538,2016-06-29 00:00:00
1035,SME_1035,Agriculture,South,6,182065.0,747,2017-07-01 00:00:00
1036,SME_1036,Retail,West,11,280275.0,774,2015-08-03 00:00:00
1037,SME_1037,Manufacturing,South,7,1462780.0,637,2015-10-09 00:00:00
1038,SME_1038,Wholesale,East,8,752180.0,583,2019-01-13 00:00:00
1039,SME_1039,Services,North,4,140053.0,694,2019-09-19 00:00:00
1040,SME_1040,Manufacturing,Central,8,50000.0,682,2017-08-20 00:00:00
1041,SME_1041,Services,North,10,539399.0,529,2017-06-05 00:00:00
1042,SME_1042,Manufacturing,North,8,172408.0,763,2019-09-16 00:00:00
1043,SME_1043,Healthcare,East,7,50000.0,600,2019-02-25 00:00:00
1044,SME_1044,Retail,West,9,311378.0,626,2015-11-30 00:00:00
1045,SME_1045,Wholesale,East,4,427568.0,595,2015-03-18 00:00:00
1046,SME_1046,Retail,North,8,99908.0,568,2019-10-01 00:00:00
1047,SME_1047,Services,North,10,1285814.0,494,2017-09-13 00:00:00
1048,SME_1048,Construction,West,4,251307.0,663,2018-03-25 00:00:00
1049,SME_1049,Retail,Central,9,375566.0,558,2017-08-26 00:00:00
1050,SME_1050,Tech,West,10,81339.0,700,2018-09-09 00:00:00
1051,SME_1051,Wholesale,South,11,280400.0,648,2019-06-27 00:00:00
1052,SME_1052,Healthcare,Central,1,163668.0,639,2019-12-19 00:00:00
1053,SME_1053,Healthcare,South,9,2258506.0,627,2016-10-25 00:00:00
1054,SME_1054,Construction,East,6,155442.0,690,2017-08-06 00:00:00
1055,SME_1055,Healthcare,South,10,217085.0,658,2019-06-01 00:00:00
1056,SME_1056,Manufacturing,South,5,73340.0,754,2017-03-06 00:00:00
1057,SME_1057,Retail,West,6,1131146.0,584,2016-10-17 00:00:00
1058,SME_1058,Manufacturing,East,3,153987.0,812,2019-11-04 00:00:00
1059,SME_1059,Retail,South,8,62301.0,775,2018-08-28 00:00:00
1060,SME_1060,Services,South,8,499074.0,743,2017-07-14 00:00:00
1061,SME_1061,Retail,North,6,522421.0,631,2018-12-23 00:00:00
