SnapshotID,LoanID,SnapshotDate,OutstandingAmount,PastDueDays,CumulativePayments,DefaultFlag
1,5000,2025-10-14,0.0,3,52182.36,0
2,5001,2025-10-14,0.0,0,62045.64,0
3,5002,2025-10-14,0.0,4,14319.0,0
4,5003,2025-10-14,0.0,10,27500.9,0
5,5004,2025-10-14,0.0,25,48511.44,0
6,5005,2025-10-14,0.0,6,62274.48,0
7,5006,2025-10-14,0.0,9,22556.28,0
8,5007,2025-10-14,0.0,0,144837.99,0
9,5008,2025-10-14,0.0,0,164788.48,0
10,5009,2025-10-14,0.0,0,19731.7,0
11,5010,2025-10-14,0.0,27,13759.8,0
12,5011,2025-10-14,0.0,9,14060.64,0
13,5012,2025-10-14,0.0,0,67301.28,0
14,5013,2025-10-14,0.0,10,118950.48,0
15,5014,2025-10-14,0.0,53,11318.4,0
16,5015,2025-10-14,0.0,0,55060.62,0
17,5016,2025-10-14,0.0,14,37729.92,0
18,5017,2025-10-14,10956.7,0,91260.3,0
19,5018,2025-10-14,0.0,0,21457.08,0
20,5019,2025-10-14,0.0,0,209691.36,0
21,5020,2025-10-14,0.0,4,21584.5,0
22,5021,2025-10-14,0.0,0,124335.0,0
23,5022,2025-10-14,0.0,22,31390.72,0
24,5023,2025-10-14,27756.2,10,27543.8,0
25,5024,2025-10-14,13286.57,21,4661.43,1
26,5025,2025-10-14,0.0,33,19188.48,0
27,5026,2025-10-14,0.0,1,71493.8,0
28,5027,2025-10-14,0.0,13,12401.5,0
29,5028,2025-10-14,0.0,2,48800.16,0
30,5029,2025-10-14,0.0,0,74690.43,0
31,5030,2025-10-14,0.0,31,91038.85,0
32,5031,2025-10-14,0.0,14,696697.74,0
33,5032,2025-10-14,33526.46,80,2211.54,1
34,5033,2025-10-14,0.0,1,11622.63,0
35,5034,2025-10-14,0.0,19,14608.8,0
36,5035,2025-10-14,0.0,11,12666.79,0
37,5036,2025-10-14,644.5,0,8145.5,0
38,5037,2025-10-14,179605.82,75,34274.18,1
39,5038,2025-10-14,0.0,0,191273.28,0
40,5039,2025-10-14,0.0,4,24254.64,0
41,5040,2025-10-14,0.0,13,51021.25,0
42,5041,2025-10-14,0.0,14,123225.2,0
43,5042,2025-10-14,0.0,10,202079.38,0
44,5043,2025-10-14,0.0,5,11549.88,0
45,5044,2025-10-14,5015.79,30,765.21,1
46,5045,2025-10-14,0.0,0,36295.8,0
47,5046,2025-10-14,0.0,28,12982.08,0
48,5047,2025-10-14,0.0,0,238617.36,0
49,5048,2025-10-14,358.46,12,18982.54,0
50,5049,2025-10-14,0.0,6,24313.32,0
51,5050,2025-10-14,0.0,0,6858.81,0
52,5051,2025-10-14,1997.34,57,41628.66,0
53,5052,2025-10-14,0.0,9,73356.48,0
54,5053,2025-10-14,0.0,15,76394.88,0
55,5054,2025-10-14,0.0,11,23257.8,0
56,5055,2025-10-14,0.0,23,66400.56,0
57,5056,2025-10-14,0.0,9,427077.2,0
58,5057,2025-10-14,12127.71,86,2725.29,1
59,5058,2025-10-14,0.0,0,87529.72,0
60,5059,2025-10-14,0.0,1,17298.6,0
61,5060,2025-10-14,3179.53,0,8536.47,0
62,5061,2025-10-14,0.0,7,31590.11,0
63,5062,2025-10-14,0.0,7,13757.04,0
64,5063,2025-10-14,0.0,13,114887.52,0
65,5064,2025-10-14,0.0,10,19549.2,0
66,5065,2025-10-14,0.0,0,20760.84,0
67,5066,2025-10-14,0.0,0,85101.6,0
68,5067,2025-10-14,0.0,8,110392.8,0
69,5068,2025-10-14,0.0,15,12059.64,0
70,5069,2025-10-14,19757.23,19,222011.77,0
71,5070,2025-10-14,0.0,16,11669.4,0
72,5071,2025-10-14,0.0,7,19393.2,0
73,5072,2025-10-14,25737.64,78,4321.36,1
74,5073,2025-10-14,73295.55,52,10766.45,1
75,5074,2025-10-14,282044.38,21,57224.62,1
76,5075,2025-10-14,10976.2,32,70332.8,0
77,5076,2025-10-14,0.0,1,36745.16,0
78,5077,2025-10-14,0.0,28,8652.66,0
79,5078,2025-10-14,0.0,22,11119.02,0
80,5079,2025-10-14,0.0,30,378154.59,0
81,5080,2025-10-14,0.0,0,57676.74,0
82,5081,2025-10-14,0.0,35,303963.0,0
83,5082,2025-10-14,0.0,31,42784.8,0
84,5083,2025-10-14,0.0,1,11359.08,0
85,5084,2025-10-14,720.38,6,75838.62,0
86,5085,2025-10-14,0.0,7,217040.19,0
87,5086,2025-10-14,0.0,18,19114.9,0
88,5087,2025-10-14,0.0,0,37111.05,0
89,5088,2025-10-14,1075.44,0,213145.56,0
90,5089,2025-10-14,0.0,0,85495.04,0
91,5090,2025-10-14,0.0,0,80616.38,0
92,5091,2025-10-14,0.0,10,27955.08,0
93,5092,2025-10-14,0.0,0,39330.54,0
94,5093,2025-10-14,0.0,0,124040.7,0
95,5094,2025-10-14,0.0,30,23868.72,0
96,5095,2025-10-14,393.04,9,105977.96,0
97,5096,2025-10-14,0.0,7,12889.34,0
98,5097,2025-10-14,0.0,6,62464.85,0
99,5098,2025-10-14,0.0,0,18039.24,0
100,5099,2025-10-14,0.0,1,59945.76,0
101,5100,2025-10-14,17563.67,65,4218.33,1
102,5101,2025-10-14,90704.46,0,577764.54,0
103,5102,2025-10-14,0.0,0,9025.2,0
104,5103,2025-10-14,32260.14,0,412270.86,0
105,5104,2025-10-14,59442.18,24,105392.82,0
106,5105,2025-10-14,0.0,29,37096.92,0
107,5106,2025-10-14,29270.99,71,15506.01,1
108,5107,2025-10-14,497531.19,65,220863.81,1
109,5108,2025-10-14,0.0,0,210833.76,0
110,5109,2025-10-14,0.0,0,14856.72,0
111,5110,2025-10-14,33330.05,22,12375.95,1
112,5111,2025-10-14,6632.73,44,290758.27,0
113,5112,2025-10-14,6164.62,0,6386.38,0
114,5113,2025-10-14,892086.06,39,360850.94,1
115,5114,2025-10-14,0.0,31,281412.0,0
116,5115,2025-10-14,0.0,0,131113.44,0
117,5116,2025-10-14,0.0,32,70032.96,0
118,5117,2025-10-14,0.0,9,6399.36,0
119,5118,2025-10-14,35515.62,29,14141.38,0
120,5119,2025-10-14,0.0,36,8254.56,0
121,5120,2025-10-14,8067.76,11,19511.24,0
122,5121,2025-10-14,0.0,32,58495.68,0
123,5122,2025-10-14,0.0,0,7292.95,0
124,5123,2025-10-14,20819.55,98,6329.45,1
125,5124,2025-10-14,639.06,0,16186.94,0
126,5125,2025-10-14,10521.54,0,5157.46,0
127,5126,2025-10-14,0.0,0,8611.2,0
128,5127,2025-10-14,0.0,6,100087.05,0
129,5128,2025-10-14,0.0,0,17563.0,0
130,5129,2025-10-14,1511.18,0,38220.82,0
131,5130,2025-10-14,0.0,0,52870.32,0
132,5131,2025-10-14,9314.36,0,29648.64,0
133,5132,2025-10-14,0.0,15,66808.44,0
134,5133,2025-10-14,0.0,0,14899.82,0
135,5134,2025-10-14,1558.03,7,43925.97,0
136,5135,2025-10-14,0.0,0,196063.92,0
137,5136,2025-10-14,0.0,1,134760.24,0
138,5137,2025-10-14,0.0,28,86842.08,0
139,5138,2025-10-14,0.0,8,117142.58,0
140,5139,2025-10-14,0.0,52,69920.64,0
141,5140,2025-10-14,0.0,50,19703.81,0
142,5141,2025-10-14,18894.72,131,12966.28,1
143,5142,2025-10-14,0.0,30,42758.64,0
144,5143,2025-10-14,0.0,25,8128.08,0
145,5144,2025-10-14,0.0,0,206039.29,0
146,5145,2025-10-14,1391.44,6,65900.56,0
147,5146,2025-10-14,230085.88,14,56987.12,1
148,5147,2025-10-14,0.0,21,221502.24,0
149,5148,2025-10-14,0.0,0,73442.25,0
150,5149,2025-10-14,0.0,37,140114.38,0
151,5150,2025-10-14,0.0,36,22070.52,0
152,5151,2025-10-14,0.0,0,217900.44,0
153,5152,2025-10-14,0.0,33,36435.45,0
154,5153,2025-10-14,0.0,15,20322.8,0
155,5154,2025-10-14,0.0,1,133515.72,0
156,5155,2025-10-14,0.0,0,90889.92,0
157,5156,2025-10-14,0.0,4,33088.32,0
158,5157,2025-10-14,0.0,0,15357.6,0
159,5158,2025-10-14,0.0,8,74968.8,0
160,5159,2025-10-14,0.0,0,18101.04,0
161,5160,2025-10-14,0.0,0,13708.46,0
162,5161,2025-10-14,0.0,12,93317.35,0
163,5162,2025-10-14,0.0,17,70325.64,0
164,5163,2025-10-14,0.0,20,82862.42,0
165,5164,2025-10-14,0.0,7,45562.04,0
166,5165,2025-10-14,0.0,0,51361.8,0
167,5166,2025-10-14,0.0,9,13506.12,0
168,5167,2025-10-14,0.0,1,484581.24,0
169,5168,2025-10-14,3532.16,0,64585.84,0
170,5169,2025-10-14,48139.54,0,34613.46,0
171,5170,2025-10-14,508.56,0,121757.44,0
172,5171,2025-10-14,0.0,8,74448.1,0
173,5172,2025-10-14,3541.0,0,8109.0,0
174,5173,2025-10-14,0.0,0,8417.16,0
175,5174,2025-10-14,260.98,0,18478.02,0
176,5175,2025-10-14,0.0,0,10078.8,0
177,5176,2025-10-14,0.0,12,45524.4,0
178,5177,2025-10-14,0.0,8,32979.24,0
179,5178,2025-10-14,0.0,31,347711.4,0
180,5179,2025-10-14,0.0,23,80677.44,0
181,5180,2025-10-14,0.0,19,71397.9,0
182,5181,2025-10-14,0.0,0,875264.04,0
183,5182,2025-10-14,0.0,0,824563.68,0
184,5183,2025-10-14,0.0,10,35059.2,0
185,5184,2025-10-14,54573.0,12,53752.0,0
186,5185,2025-10-14,0.0,21,176009.39,0
187,5186,2025-10-14,0.0,0,106268.05,0
188,5187,2025-10-14,0.0,13,16293.9,0
189,5188,2025-10-14,55404.75,0,50291.25,0
190,5189,2025-10-14,0.0,0,19122.84,0
191,5190,2025-10-14,0.0,0,2046480.15,0
192,5191,2025-10-14,0.0,5,196101.86,0
193,5192,2025-10-14,0.0,0,83552.62,0
194,5193,2025-10-14,0.0,46,86827.2,0
195,5194,2025-10-14,0.0,16,18930.72,0
196,5195,2025-10-14,0.0,0,19609.04,0
197,5196,2025-10-14,0.0,56,5931.72,0
198,5197,2025-10-14,10374.75,9,37171.25,0
199,5198,2025-10-14,13813.22,47,19461.78,0
200,5199,2025-10-14,0.0,14,455682.85,0
201,5200,2025-10-14,0.0,15,21325.2,0
202,5201,2025-10-14,9191.4,0,8078.6,0
203,5202,2025-10-14,0.0,21,22200.96,0
204,5203,2025-10-14,0.0,0,274446.64,0
205,5204,2025-10-14,0.0,0,46967.52,0
206,5205,2025-10-14,0.0,10,30481.9,0
207,5206,2025-10-14,0.0,26,21963.34,0
208,5207,2025-10-14,0.0,0,43652.16,0
209,5208,2025-10-14,24245.24,1,13375.76,0
210,5209,2025-10-14,0.0,1,15207.6,0
211,5210,2025-10-14,0.0,0,16347.84,0
212,5211,2025-10-14,0.0,5,39327.84,0
213,5212,2025-10-14,0.0,24,36469.67,0
214,5213,2025-10-14,0.0,0,48636.0,0
215,5214,2025-10-14,0.0,26,15427.08,0
216,5215,2025-10-14,0.0,0,61768.35,0
217,5216,2025-10-14,0.0,2,76925.52,0
218,5217,2025-10-14,0.0,9,64563.12,0
219,5218,2025-10-14,5405.36,44,2459.64,1
220,5219,2025-10-14,497.81,10,11707.19,0
221,5220,2025-10-14,0.0,0,18884.38,0
222,5221,2025-10-14,0.0,23,15096.92,0
223,5222,2025-10-14,57370.0,0,13904.0,0
224,5223,2025-10-14,2305.05,6,9376.95,0
225,5224,2025-10-14,0.0,23,27701.96,0
226,5225,2025-10-14,0.0,21,186951.96,0
227,5226,2025-10-14,0.0,41,16790.4,0
228,5227,2025-10-14,0.0,0,46154.52,0
229,5228,2025-10-14,0.0,23,93710.4,0
230,5229,2025-10-14,0.0,17,52691.52,0
231,5230,2025-10-14,0.0,12,153304.55,0
232,5231,2025-10-14,0.0,19,360944.16,0
233,5232,2025-10-14,0.0,0,112446.5,0
234,5233,2025-10-14,0.0,0,32245.36,0
235,5234,2025-10-14,977973.57,17,213853.43,1
236,5235,2025-10-14,0.0,13,29698.56,0
237,5236,2025-10-14,0.0,0,126151.56,0
238,5237,2025-10-14,2825.0,0,19875.0,0
239,5238,2025-10-14,0.0,25,80129.94,0
240,5239,2025-10-14,2815.12,0,14196.88,0
241,5240,2025-10-14,0.0,39,138820.8,0
242,5241,2025-10-14,0.0,8,68408.88,0
243,5242,2025-10-14,0.0,0,236301.6,0
244,5243,2025-10-14,0.0,0,6801.84,0
245,5244,2025-10-14,0.0,0,19621.8,0
246,5245,2025-10-14,0.0,0,58228.56,0
247,5246,2025-10-14,7773.26,8,184462.74,0
248,5247,2025-10-14,0.0,0,19973.8,0
249,5248,2025-10-14,0.0,0,439776.75,0
250,5249,2025-10-14,18734.71,78,11839.29,1
251,5250,2025-10-14,7789.5,7,67717.5,0
252,5251,2025-10-14,0.0,37,765690.72,0
