LoanID,CustomerID,LoanAmount,InterestRate,TermMonths,OriginationDate,Status,RiskGradeAtOrigination
5000,10083,44922.0,10.0,36,2016-04-10,PaidOff,C
5001,6515,57947.0,4.49,36,2016-01-03,PaidOff,B
5002,2987,13096.0,5.89,36,2024-04-07,PaidOff,C
5003,2805,26493.0,6.24,36,2017-11-11,PaidOff,C
5004,7073,42895.0,8.17,36,2018-06-22,PaidOff,D
5005,9209,58492.0,6.09,24,2023-10-03,Current,C
5006,8225,21918.0,5.66,36,2024-07-31,PaidOff,C
5007,9943,138975.0,8.53,36,2021-08-21,PaidOff,B
5008,7618,155651.0,7.57,36,2015-03-16,PaidOff,B
5009,4346,19521.0,5.17,24,2019-04-22,Current,A
5010,8830,11729.0,6.47,60,2017-12-12,PaidOff,D
5011,5550,12434.0,6.16,48,2021-04-17,PaidOff,C
5012,10280,59562.0,8.11,36,2019-07-06,Current,B
5013,4283,112481.0,7.19,48,2021-07-21,Current,C
5014,9534,9887.0,9.0,36,2020-02-03,PaidOff,E
5015,3266,52650.0,6.74,36,2018-03-13,PaidOff,A
5016,2704,29052.0,13.46,48,2023-03-14,PaidOff,D
5017,9734,102217.0,4.53,36,2019-12-23,PaidOff,B
5018,9793,19866.0,5.07,36,2022-06-18,PaidOff,B
5019,10073,193274.0,5.37,36,2023-04-15,PaidOff,A
5020,7915,19946.0,7.09,36,2021-03-15,PaidOff,C
5021,7633,113918.0,5.77,36,2018-12-06,Current,B
5022,5685,31332.0,7.94,36,2022-08-27,PaidOff,D
5023,3794,55300.0,9.04,48,2024-07-22,Current,D
5024,3982,17948.0,5.8,36,2017-12-07,Defaulted,D
5025,3221,17066.0,6.84,60,2020-10-20,Current,D
5026,4375,67446.0,5.7,36,2015-11-30,PaidOff,C
5027,4746,11255.0,10.3,36,2022-09-11,Current,D
5028,10276,44572.0,5.98,36,2017-02-12,PaidOff,C
5029,7097,72568.0,6.95,24,2020-10-06,PaidOff,C
5030,10476,85987.0,5.62,36,2015-10-23,Current,E
5031,6009,642122.0,9.24,36,2022-02-04,PaidOff,C
5032,1853,35738.0,7.14,36,2016-12-04,Defaulted,D
5033,3255,10371.0,6.78,48,2016-06-16,PaidOff,C
5034,6550,12518.0,10.32,36,2021-07-12,Current,E
5035,7763,12348.0,6.62,24,2021-05-31,Current,E
5036,9972,8790.0,4.26,60,2021-05-25,Current,A
5037,8021,213880.0,12.32,36,2015-10-25,Defaulted,D
5038,5628,180866.0,5.43,24,2017-02-23,Current,A
5039,2696,20996.0,9.62,36,2017-01-06,PaidOff,C
5040,8452,45882.0,8.94,36,2019-01-19,PaidOff,E
5041,10686,117155.0,5.18,36,2020-05-01,Current,C
5042,8223,183454.0,7.0,48,2016-05-25,PaidOff,C
5043,6670,10769.0,4.6,36,2019-02-10,PaidOff,C
5044,9567,5781.0,10.29,36,2015-12-22,Defaulted,D
5045,1293,30667.0,6.84,60,2022-09-19,PaidOff,B
5046,9101,11203.0,7.42,48,2018-05-09,PaidOff,D
5047,2716,224099.0,4.12,36,2019-11-07,Current,B
5048,2662,19341.0,8.7,36,2023-02-13,Current,E
5049,2452,20740.0,10.63,36,2021-07-13,PaidOff,E
5050,9625,5880.0,8.39,60,2021-01-30,PaidOff,B
5051,1818,43626.0,6.79,36,2016-10-27,PaidOff,E
5052,8506,60252.0,13.26,36,2019-08-02,Current,D
5053,5226,68758.0,5.26,48,2019-12-08,Current,D
5054,7661,20638.0,7.93,36,2023-12-22,PaidOff,C
5055,9290,59086.0,7.74,36,2015-07-08,Current,D
5056,3384,393743.0,6.83,60,2017-04-10,PaidOff,C
5057,1431,14853.0,8.85,24,2016-03-17,Defaulted,E
5058,6610,86190.0,5.63,24,2023-12-14,PaidOff,B
5059,5790,16915.0,5.47,48,2022-04-09,Current,C
5060,7901,11716.0,6.04,48,2023-04-18,Current,A
5061,8140,27938.0,7.24,48,2023-03-11,PaidOff,C
5062,7380,13674.0,9.1,24,2017-07-23,Current,D
5063,2041,98193.0,7.92,48,2017-11-06,PaidOff,D
5064,9144,18147.0,7.25,24,2018-07-28,Current,E
5065,8099,18777.0,6.64,36,2017-07-24,PaidOff,A
5066,6942,73436.0,5.96,60,2024-07-30,PaidOff,B
5067,10988,101446.0,8.25,24,2018-10-10,PaidOff,D
5068,5001,10717.0,7.83,36,2017-02-05,PaidOff,D
5069,9149,241769.0,4.22,36,2023-02-17,Current,C
5070,1080,10492.0,7.04,36,2018-03-06,PaidOff,C
5071,7630,17359.0,7.34,36,2019-07-19,PaidOff,E
5072,4478,30059.0,9.48,36,2017-01-25,Defaulted,D
5073,9223,84062.0,8.45,48,2015-09-29,Defaulted,E
5074,9334,339269.0,8.26,48,2017-09-14,Defaulted,E
5075,5175,81309.0,13.41,48,2023-01-03,Current,D
5076,3317,34276.0,8.42,36,2023-03-21,PaidOff,C
5077,1303,8088.0,8.28,36,2019-04-30,Current,E
5078,4429,11011.0,9.47,24,2018-02-09,PaidOff,E
5079,3665,343673.0,12.27,36,2015-09-30,Current,E
5080,10110,56088.0,7.62,36,2018-11-01,PaidOff,B
5081,7933,273939.0,4.17,60,2017-06-10,PaidOff,D
